Order_Item_ID,Order_ID,Product_ID,Quantity,Unit_Price
1,1,20,2,799
2,2,9,3,1000
3,3,35,1,280
4,4,26,1,599
5,5,2,2,675
6,6,24,3,999
7,7,45,2,130
8,8,9,3,1000
9,9,45,3,130
10,10,31,1,349
11,11,10,3,925
12,12,17,1,799
13,13,2,2,675
14,14,2,2,675
15,15,28,1,999
16,16,42,2,110
17,17,25,1,899
18,18,19,1,450
19,19,36,2,550
20,20,20,2,799
21,21,6,2,515
22,22,48,3,90
23,23,5,2,475
24,24,36,1,550
25,25,22,3,1899
26,26,25,3,899
27,27,49,3,399
28,28,44,2,100
29,29,5,2,475
30,30,35,1,280
31,31,24,3,999
32,32,43,3,99
33,33,26,3,599
34,34,14,3,750
35,35,27,2,999
36,36,16,1,899
37,37,37,1,200
38,38,22,3,1899
39,39,9,3,1000
40,40,2,1,675
41,41,45,3,130
42,42,5,1,475
43,43,8,1,825
44,44,4,1,500
45,45,42,2,110
46,46,24,2,999
47,47,7,1,1099
48,48,1,3,1049
49,49,40,2,1599
50,50,37,3,200
51,51,14,2,750
52,52,32,1,150
53,53,25,2,899
54,54,16,2,899
55,55,38,1,250
56,56,45,3,130
57,57,32,3,150
58,58,23,2,1499
59,59,42,2,110
60,60,34,1,280
61,61,26,2,599
62,62,13,2,1500
63,63,16,2,899
64,64,12,1,1150
65,65,6,3,515
66,66,19,3,450
67,67,14,2,750
68,68,1,2,1049
69,69,7,3,1099
70,70,36,2,550
71,71,42,3,110
72,72,38,1,250
73,73,15,3,2199
74,74,3,2,625
75,75,34,1,280
76,76,42,3,110
77,77,43,3,99
78,78,31,2,349
79,79,6,3,515
80,80,28,2,999
81,81,25,3,899
82,82,3,1,625
83,83,1,2,1049
84,84,28,1,999
85,85,38,2,250
86,86,22,1,1899
87,87,37,1,200
88,88,46,2,100
89,89,38,3,250
90,90,5,1,475
91,91,14,3,750
92,92,29,3,350
93,93,28,2,999
94,94,50,2,349
95,95,8,2,825
96,96,21,3,200
97,97,11,1,900
98,98,46,2,100
99,99,46,1,100
100,100,27,2,999
101,101,31,1,349
102,102,5,3,475
103,103,47,2,79
104,104,38,1,250
105,105,25,2,899
106,106,16,2,899
107,107,33,1,180
108,108,45,2,130
109,109,20,1,799
110,110,16,2,899
111,111,12,3,1150
112,112,34,2,280
113,113,44,3,100
114,114,18,1,850
115,115,38,2,250
116,116,4,1,500
117,117,46,2,100
118,118,36,1,550
119,119,28,3,999
120,120,41,2,600
121,121,9,1,1000
122,122,15,2,2199
123,123,20,1,799
124,124,13,1,1500
125,125,36,3,550
126,126,19,1,450
127,127,39,3,270
128,128,8,1,825
129,129,25,1,899
130,130,28,1,999
131,131,32,3,150
132,132,30,1,400
133,133,45,2,130
134,134,40,2,1599
135,135,43,3,99
136,136,42,3,110
137,137,42,3,110
138,138,22,3,1899
139,139,49,1,399
140,140,42,3,110
141,141,22,1,1899
142,142,42,2,110
143,143,25,3,899
144,144,4,2,500
145,145,42,1,110
146,146,2,1,675
147,147,38,1,250
148,148,4,2,500
149,149,1,2,1049
150,150,25,2,899
151,151,8,3,825
152,152,41,3,600
153,153,50,3,349
154,154,2,1,675
155,155,39,1,270
156,156,15,2,2199
157,157,27,3,999
158,158,39,2,270
159,159,39,3,270
160,160,49,1,399
161,161,38,1,250
162,162,31,1,349
163,163,41,2,600
164,164,9,1,1000
165,165,34,1,280
166,166,26,1,599
167,167,2,3,675
168,168,41,3,600
169,169,33,3,180
170,170,20,3,799
171,171,6,3,515
172,172,3,3,625
173,173,48,2,90
174,174,48,3,90
175,175,28,3,999
176,176,27,1,999
177,177,27,3,999
178,178,25,3,899
179,179,44,3,100
180,180,7,3,1099
181,181,39,1,270
182,182,6,2,515
183,183,40,3,1599
184,184,2,2,675
185,185,5,1,475
186,186,46,3,100
187,187,9,3,1000
188,188,9,3,1000
189,189,2,1,675
190,190,32,3,150
191,191,41,2,600
192,192,45,3,130
193,193,31,1,349
194,194,39,2,270
195,195,14,3,750
196,196,23,1,1499
197,197,41,3,600
198,198,31,1,349
199,199,7,3,1099
200,200,21,2,200
201,201,27,3,999
202,202,11,1,900
203,203,44,1,100
204,204,41,2,600
205,205,22,2,1899
206,206,9,1,1000
207,207,18,3,850
208,208,42,2,110
209,209,6,3,515
210,210,49,3,399
211,211,40,1,1599
212,212,28,2,999
213,213,47,1,79
214,214,15,2,2199
215,215,14,2,750
216,216,29,1,350
217,217,33,2,180
218,218,9,2,1000
219,219,24,2,999
220,220,10,1,925
221,221,22,1,1899
222,222,48,2,90
223,223,26,3,599
224,224,25,1,899
225,225,32,1,150
226,226,6,2,515
227,227,41,1,600
228,228,48,2,90
229,229,24,3,999
230,230,30,1,400
231,231,10,1,925
232,232,19,2,450
233,233,46,1,100
234,234,3,3,625
235,235,24,1,999
236,236,16,1,899
237,237,42,1,110
238,238,18,3,850
239,239,47,1,79
240,240,50,1,349
241,241,50,3,349
242,242,34,2,280
243,243,42,2,110
244,244,30,3,400
245,245,25,1,899
246,246,40,3,1599
247,247,15,3,2199
248,248,36,1,550
249,249,40,3,1599
250,250,36,2,550
251,251,45,3,130
252,252,43,1,99
253,253,7,2,1099
254,254,47,3,79
255,255,17,3,799
256,256,19,3,450
257,257,19,2,450
258,258,13,3,1500
259,259,47,2,79
260,260,37,2,200
261,261,37,3,200
262,262,47,1,79
263,263,10,2,925
264,264,45,3,130
265,265,41,3,600
266,266,25,2,899
267,267,47,3,79
268,268,8,2,825
269,269,26,2,599
270,270,28,2,999
271,271,24,3,999
272,272,36,1,550
