Product_ID,Category,Product_Name ,Brand,Brand_ID,Supplier_Name,Supplier_ID,Price,Cost,Gross_Margin_Percent,Stock_Quantity,Reorder_Level,Units_Sold,Rating
1,Laptop,Apple MacBook Air M3,Apple,1,Apple Distribution,1,1049,808,22.97%,11,6,45,3.9
2,Laptop,Lenovo IdeaPad 5,Lenovo,3,Lenovo Business Partners,3,675,405,40.00%,62,25,47,4.5
3,Laptop,HP Pavilion 15,HP,4,HP Distribution Network,4,625,413,33.92%,17,4,36,4.2
4,Laptop,Dell Inspiron 15,Dell,5,Dell Technologies Supply,5,500,325,35.00%,48,24,29,4.4
5,Laptop,ASUS VivoBook 15,ASUS,6,ASUS Global Distribution,6,475,309,34.95%,25,11,48,4.8
6,Laptop,Acer Aspire 5,Acer,7,Acer Authorized Distribution,7,515,314,39.03%,72,33,64,3.7
7,Laptop,Microsoft Surface Laptop 7,Microsoft,9,Microsoft Hardware Partners,9,1099,824,25.02%,46,10,44,4.8
8,Laptop,Lenovo ThinkPad E14,Lenovo,3,Lenovo Business Partners,3,825,520,36.97%,73,25,34,4.7
9,Laptop,Dell Latitude 5440,Dell,5,Dell Technologies Supply,5,1000,730,27.00%,40,10,42,4.6
10,Laptop,ASUS ZenBook 14,ASUS,6,ASUS Global Distribution,6,925,722,21.95%,64,27,38,4.5
11,Laptop,HP ProBook 450 G10,HP,4,HP Distribution Network,4,900,549,39.00%,72,23,30,3.9
12,Laptop,Lenovo Legion 5,Lenovo,3,Lenovo Business Partners,3,1150,782,32.00%,69,28,32,4
13,Laptop,ASUS ROG Strix G16,ASUS,6,ASUS Global Distribution,6,1500,1005,33.00%,68,29,38,4.4
14,Laptop,Acer Nitro V 15,Acer,7,Acer Authorized Distribution,7,750,585,22.00%,40,9,39,3.6
15,Laptop,Microsoft Surface Laptop Studio,Microsoft,9,Microsoft Hardware Partners,9,2199,1693,23.01%,30,12,42,4.4
16,Smartphone,Apple iPhone 17,Apple,1,Apple Distribution,1,899,674,25.03%,63,25,43,4.6
17,Smartphone,Samsung Galaxy S25,Samsung,2,Samsung Electronics Distribution,2,799,495,38.05%,104,31,17,3.9
18,Smartphone,Xiaomi 15 Pro,Xiaomi,8,Xiaomi Global Distribution,8,850,680,20.00%,53,23,20,3.7
19,Smartphone,Samsung Galaxy A56,Samsung,2,Samsung Electronics Distribution,2,450,360,20.00%,101,39,28,4.4
20,Smartphone,Apple iPhone 16,Apple,1,Apple Distribution,1,799,631,21.03%,55,23,52,3.9
21,Smartphone,Xiaomi Redmi Note 14,Xiaomi,8,Xiaomi Global Distribution,8,200,160,20.00%,200,53,46,4.7
22,Smartphone,Samsung Galaxy Z Fold 7,Samsung,2,Samsung Electronics Distribution,2,1899,1481,22.01%,105,39,36,4.5
23,Smartphone,Microsoft Surface Duo 2,Microsoft,9,Microsoft Hardware Partners,9,1499,1184,21.01%,112,29,32,3.7
24,Smartphone,ASUS ROG Phone 9,ASUS,6,ASUS Global Distribution,6,999,749,25.03%,70,34,57,3.9
25,Smartphone,Lenovo Legion Phone,Lenovo,3,Lenovo Business Partners,3,899,620,31.03%,20,10,55,4.4
26,Tablet,Apple iPad Air M3,Apple,1,Apple Distribution,1,599,395,34.06%,66,28,36,3.9
27,Tablet,Samsung Galaxy Tab S10,Samsung,2,Samsung Electronics Distribution,2,999,599,40.04%,96,26,55,4.7
28,Tablet,Microsoft Surface Pro 11,Microsoft,9,Microsoft Hardware Partners,9,999,639,36.04%,54,27,46,4
29,Tablet,Lenovo Tab P12,Lenovo,3,Lenovo Business Partners,3,350,270,22.86%,55,20,46,4
30,Tablet,Xiaomi Pad 7,Xiaomi,8,Xiaomi Global Distribution,8,400,248,38.00%,65,27,48,4.1
31,Tablet,Apple iPad 11th Gen,Apple,1,Apple Distribution,1,349,255,26.93%,115,40,30,3.7
32,Tablet,Samsung Galaxy Tab A9,Samsung,2,Samsung Electronics Distribution,2,150,110,26.67%,75,21,32,4.1
33,Tablet,Lenovo Tab M11,Lenovo,3,Lenovo Business Partners,3,180,122,32.22%,107,27,45,4.4
